"name","wardnum","title","adminward","ER_A","ER_B","voters","male_voters","female_voters","total_polling_buildings","total_polling_stations","PB.building","PB.SRA","PB.road","PB.electrical","PB.drainage","PB.water","PB.total","areas"
"Ward 01",1,"Lohegaon Airport","Yerawda - Sangamwadi","Rekha C. Tingare (NCP)","Anil V. Tingare (NCP)",43263,23046,20217,24,50,0,400000,1600000,400000,800000,800000,4000000,"Dhanori Gaonthan, Munjoba Vasti, Barmashel, Dadachi Padal, Khandave Vasti, Gurudvara Bhairavnagar, Kashinath Nagar, Ambanagari, Anand Park, Kalwad Vasti, Vidyanagar Bhag, Khandve Vasti, Gurudvara Vasti, Lohgaon Bhag, Adarsh Colony, Vidyanagar, Himgiri Hig"
"Ward 02",2,"Kharadi Infotech Park","Nagar Road","Mahindra Pathare (NCP)","Sangita Pathare (SS)",40567,22175,18392,12,50,1600000,400000,2000000,0,0,0,4000000,"Kharadi Gaonthan, BalajiPalase, Khulewadi, Rakshak Nagar, Chandan Nagar, Raghvendra Nagar, Yashwant Nagar, Kharadi Infotech Park, Kharadi Telephone Exchange, Municipal School No. 181, Eon IT Project etc."
"Ward 03",3,"Vimannagar Sanjay Park","Nagar Road","Usha Kalamkar (NCP)","Mahadev Pathare (NCP)",37250,19660,17590,9,45,1600000,0,2400000,0,0,0,4000000,"Vimannagar, Vidyaniketan School, C.T.R., Gangapuram, Orbit Mall, Nagar road, Sanjay Park Parisar, Sopan Nagar, Somnath Nagar, Symbiosis College etc"
"Ward 04",4,"Nagpur Chawl","Nagar Road","Sunanda Devkar (RPI)","Siddharth Dhende (RPI)",30280,15846,14434,11,36,1200000,2200000,400000,200000,0,0,4000000,"Kasturba Society, Pratik Nagar, Nagpur Chawl, Maharashtra Housing Board Vasahat, Yerwada, Post Office, Yerwada Jail, Panchsheel Nagar, Hiraman Moz Nagar, Ex Sainik Vasahat, Shramik Nagar, Yerwada Jail Vasahat, Jadhav Nagar, Walmiki Udyan, Mohan Wadi etc."
"Ward 05",5,"Vishrantwadi Mhaske Vasti","Yerawda - Sangamwadi","Sunita Salunke (MNS)","Satish Mhaske (NCP)",40788,21189,19599,18,43,800000,400000,1600000,800000,0,400000,4000000,"S.N. No. 112 Vishrantwadi Slums, Bhimnagar Slums, Ektanagar, Akshay residency, sant Tukaram Nagar, Aaadarsh Colony, Vidyanagar, Kalas Gaonthan, Vishrantwadi, Vishrant Society, Chavan Chawl, Mhaske Vasti, Kusumade Vasti, Ganga Kunj Society etc"
"Ward 06",6,"Bopodi Gaonthan","Aundh","Archana Kambale (MNS)","Prakash Dhore (MNS)",37475,19456,18019,20,47,920000,160000,1000000,800000,1120000,0,4000000,"Bopodi Gaonthan, Shri Chatrapati Shivaji Maharaj Garden Bopodi, Bopodi Drainage Treatment Plant, Chikhal wadi, Kirloskar Oil Engine, Sanjay gandhi Hospital, LIC Colony, Gopichawl Namrata Society etc."
"Ward 07",7,"Pune University","Aundh","Shashikala Gayakawad (INC)","Kailaas Gayakawad (INC)",29448,15153,14295,8,33,160000,3200000,240000,0,400000,0,4000000,"Pune University, Rohan Nilay Society, Sidharth Nagar, Spicer College, Botanical Garden, Aundh jakat naka, Aundh ward Office, Rajbhavan, Kasturba, Sakalnagar, Abhiman shri Housing Society etc."
"Ward 08",8,"Aundh ITI","Aundh","Chandrakant Urfa Sunny Nimhan (INC)","Sangita Gayakawad (INC)",31933,16605,15328,18,38,400000,1600000,1200000,400000,400000,0,4000000,"Aundh Gaonthan, Sanghavi Nagar, Wireless Colony, Ambedkar Slums, Police Motor Workshop, Aundh ITI, Sindh Housing Society, National HOusing Society, Vidhate-Murkute Vasti, Medipoint Hospital, Marutrao Gaikwad Nagar, Anand Park, Sanewadi etc."
"Ward 09",9,"Baner Balewadi","Aundh","Ranjana Murkute (NCP)","Baburao Chandere (NCP)",43227,23685,19542,32,53,0,0,1600000,1200000,1200000,0,4000000,"Balewadi Gaonthan, Baner Gaonthan, Pancard Club, National Insurance Acadamy, Someshvarwadi, Sutarwadi, Indian Meteorological Department, National Institute of Virology, N.C.L., N.I.C.M.R. etc."
"Ward 10",10,"Pashan Sutarwadi","Aundh","Rohini Chimate (NCP)","Sushama Nimhan (NCP)",29669,15562,14107,22,36,400000,400000,1600000,400000,1200000,0,4000000,"Sutarwadi, Abhinv College of Arts, Pashan Lake, A.E.D.R., Bharat Electronics, H.E.M.R.L., Lenyadri Society, Panchavati Society etc."
